Complaint_ID,Make,Model,Department,Complaint,Description,location
80,TATA MOTORS,Tigor,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"TWICE WHEN CRUISE CONTROL WAS APPLIED, VEHICLE SUDDENLY ACCELERATED OUT OF CONTROL DUE TO THROTTLE BODY ASSEMBLY STUCK OPEN.  TT",Kalyan-Dombivli
81,TATA MOTORS,Punch EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CRUISE CONTROL PROBLEM.   *AK,Ahmedabad
82,TATA MOTORS,Sumo,SAFETY,SEAT BELTS,SHOULDER HARNESS DID NOT TIGHTEN UP UPON IMPACT AS INTENDED; VEHICLE REARENDED ANOTHER VEHICLE THAT SUDDENLY SLOWED DOWN.  TT,Solapur
83,TATA MOTORS,Tiago EV,SAFETY,SEATS,"SEAT BELT DID NOT HOLD IN ONE CAR ACCIDENT, VEHICLE FLIPPED OVER.  TT",Gwalior
84,TATA MOTORS,Safari,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CAR GOES FIFTY MPH WITHOUT TOUCHING THE ACCELERATOR.  PLEASE DESCRIBE FURTHER.  TT,Mysore
85,TATA MOTORS,Punch EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AUTOMATIC TRANSMISSION FAILURE.  TT,Coimbatore
86,TATA MOTORS,Indica,SAFETY,STRUCTURE:BODY,PROBLEM W/ROOF.   *SD,Howrah
87,TATA MOTORS,Tiago EV,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,DIFFERENTIAL COVER GASKET FAILED.  *SD,Gwalior
88,TATA MOTORS,Safari,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,VEHICLE SHIFTS WITH NO WARNING.  TT,Srinagar
89,TATA MOTORS,Nexon,VEHICLE CONTROL,VEHICLE SPEED CONTROL,VEHICLE HAD UNWANTED ACCELERATION FROM PARK TO REVERSE GEAR AND HIT A HOUSE.  TT,Chennai
90,TATA MOTORS,Aria,SAFETY,AIR BAGS:FRONTAL,DRIVER SIDE AIRBAG DID NOT DEPLOY AT 12:00.  TT,Varanasi
91,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS:FRONTAL,PASSENGER SIDE AIRBAG DID NOT DEPLOY AT 12:00.  TT,Vadodara
92,TATA MOTORS,Bolt,STEERING & SUSPENSION,SUSPENSION,FRONT TIRE HIT A SNOW ENBANKMENT CAUSING THE VEHICLE TO FLIP OVER SPEED 20 MPH.  TT,Ranchi
93,TATA MOTORS,Tiago EV,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,"BOLTS THAT HOLD THE MOTOR MOUNT TO BLOCK SHEARRED OFF, ALMOST RESULTING IN CONTROL LOST.  TT",Vadodara
94,TATA MOTORS,Punch,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"5 SPEED MANUAL TRANSMISSION FAILURE, SUDDEN ACCELERATION WHEN SHIFTING GEARS.  TT",Mumbai
95,TATA MOTORS,Sumo,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION FAILED WHEN SHIFTING GEARS.  TT,Chennai
96,TATA MOTORS,Nexon,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,"POOR ENGINE MANAGEMENT, CAUSING VEHICLE TO RACE BETWEEN GEAR SHIFTS, ESPECIALLY WHEN VEHICLE IS AT OPERATING TEMPERATURE AND HAS BEEN PARKED.   *AK",Solapur
97,TATA MOTORS,Vista,SAFETY,AIR BAGS:FRONTAL,AIRBAG DID NOT DEPLOY UPON HEAD ON COLLISION AT 55MPH.  TT,Bhopal
98,TATA MOTORS,Indica,SAFETY,AIR BAGS:FRONTAL,TRAVELING HIGHWAY SPEED FRONT TIRE BLEW OUT.  THIS ACTIVATED THE DRIVERS AIR BAG WHICH WAS QUOTED BY DEALER REVIEWING BLACK BOX. VEHICLE HAS NO BODY DAMAGE.  TT,Ludhiana
99,TATA MOTORS,Tiago EV,VEHICLE CONTROL,TIRES,TRAVELING HIGHWAY SPEED FRONT TIRE BLEW OUT.  TT,Kota
100,TATA MOTORS,Tigor EV,UNKNOWN OR OTHER,UNKNOWN OR OTHER,REPLACED INSTRUMENT PANEL.  *AK,Varanasi
101,TATA MOTORS,Zest,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AUTO-TRANSMISSION FAILS WHILE DRIVING MADE GRINDING NOISES.   TT,Varanasi
102,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS:FRONTAL,"AIRBAG DID NOT DEPLOY ON A HEAD ON COLLISION, RESULTING IN AN INJURY.  TT",Raipur
103,TATA MOTORS,Indigo,SAFETY,AIR BAGS:FRONTAL,AT 30 MPH AND FRONTAL END COLLISION AIR BAG DID NOT DEPLOY.  TT,Gwalior
104,TATA MOTORS,Aria,POWER TRAIN,"FUEL SYSTEM, GASOLINE","CAR CAUGHT FIRE UNDER THE HOOD, PRECEEDED BY A GAS SMELL INSIDE VEHICLE.  TT",Ludhiana
105,TATA MOTORS,Sumo,SAFETY,AIR BAGS:FRONTAL,"FRONTAL COLLISION IMPACT 12:00 POSITION SPEED 35MPH, HIT ANOTHER VEHICLE AIR BAG DID NOT DEPLOY.  TT",Faridabad
106,TATA MOTORS,Tigor,SAFETY,AIR BAGS:FRONTAL,"AT 12:00 POSITION AT 75MPH DRIVERS SIDE AIRBAG DID NOT DEPLOY, RESULTING IN AN INJURY.  TT",Patna
107,TATA MOTORS,Zest,VEHICLE CONTROL,VEHICLE SPEED CONTROL,VEHICLE WILL ACCELERATE BY ITSELF.  TT,Agra
108,TATA MOTORS,Tiago EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,WHEN ENGAGING CRUISE CONTROL VEHICLE ACCELERATE ABRUPTLY. PLEASE DESCRIBE DETAILS.  TT,Coimbatore
109,TATA MOTORS,Tiago EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CRUISE CONTROL ENGAGED FROM A PARKED POSITION AND CAUSED AN ACCIDENT.  TT,Thane
110,TATA MOTORS,Hexa,SAFETY,STRUCTURE:BODY,PURCHASE VAN BRAND NEW AND FOUND THAT VAN BODY DAMAGE.  TT,Lucknow
111,TATA MOTORS,Safari,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"WHILE BACKING OUT DRIVEWAY, CHANGE GEARS FROM PARK TO REVERSE VEHICLE WENT INTO OPEN THROTTLE POSITION LOST CONTROL HITTING A CURB UNDER THE BOTTOM DAMAGE.  TT",Guwahati
112,TATA MOTORS,Aria,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CRUISE CONTROL MALFUNCTIONED AND CAUSED VEHICLE TO ACCELERATE OUT OF CONTROL.  TT,Kota
113,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,"NO DEPLOYMENT OF DRIVER'S AIRBAG DURING AN ACCIDENT, RESULTING IN INJURIES.  *AK",Delhi
114,TATA MOTORS,Tigor,VEHICLE CONTROL,VEHICLE SPEED CONTROL,SUDDEN ACCELERATION.  TT,Kolkata
115,TATA MOTORS,Hexa,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,BOTH ENGINE MOUNTS BROKE; OWNER NOTICED CLUNKING NOISE ON ACCELERATING AND MAKING TURNS FOR 6 TO 8 MONTHS; CAUSED MILD JERKING.  TT,Chennai
116,TATA MOTORS,Punch,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,VEHICLE JUMPED OUT OF GEAR WHILE ON A SLIGHT GRADE IN A PARKING LOT.  TT,Faridabad
117,TATA MOTORS,Tiago EV,VEHICLE CONTROL,TIRES,TRAVELING HIGHWAY SPEED FRONT TIRE BLEW OUT.  THIS ACTIVATED THE DRIVERS AIR BAG WHICH WAS QUOTED BY DEALER REVIEWING BLACK BOX. VEHICLE HAS NO BODY DAMAGE.  TT,Chennai
118,TATA MOTORS,Safari,SAFETY,SEAT BELTS,PASSENGER SEAT BELT IS CONSTANTLY CONSTRICTING.  TT,Raipur
119,TATA MOTORS,Tiago EV,POWER TRAIN,POWER TRAIN,"PURCHASE VAN USED DEALER SAY ODOMETER READ 29,000 BUT ITS 100,000 MILES.  TT",Agra
120,TATA MOTORS,Zest,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"CAR WAS IN GARAGE IN GEAR WAS IN PARK WITH THE EMERGENCY PARKING BRAKE ON, GEAR WENT INTO REVERSE.  TT",Allahabad
121,TATA MOTORS,Tiago EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"WHEN PARKED ON AN INCLINE, TRUCK WILL ROLL BACKWARDS.  TT",Mumbai
122,TATA MOTORS,Vista,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"EXPERIENCE ACCELERATION WHEN CRUISE CONTROL SET, REPLACE SPEED SENSOR 6 TIMES/SERVO/GEARS, TO NO AVAIL.  TT",Tiruchirappalli
123,TATA MOTORS,Indigo,VEHICLE CONTROL,TIRES,"DUE TO WEIGHT OF VEHICLE, DRIVER HAS EXPERIENCE 4 BLOWOUTS OUT OF FIVE TIRES.  TT",Visakhapatnam
124,TATA MOTORS,Indica,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,AT 50K MILES OIL AND TRANSMISSION PAN RUSTED OUT.  TT,Delhi
125,TATA MOTORS,Tiago EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AT 50K MILES OIL AND TRANSMISSION PAN RUSTED OUT.  TT,Dhanbad
126,TATA MOTORS,Zest,STEERING & SUSPENSION,STEERING,"VEHICLE STALLS OUT OVER 30 AND UNDER 50, RESULTING IN STEERING AND BRAKING ABILITY LOSS, DEALER CAN NOT LOCATE PROBLEM.  TT",Jabalpur
127,TATA MOTORS,Safari,VEHICLE CONTROL,VEHICLE SPEED CONTROL,HAS HAD PROBLEM WITH SUDDEN ACCELERATION SINCE DECEMBER OF LAST YEAR.  TT,Jodhpur
128,TATA MOTORS,Tiago EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"UPON STARTING, WITHOUT PLACING INTO GEAR, SUDDENLY IN REVERSE POSITION VEHICLE ACCELERATED OUT OF CONTROL, JUMPING OVER ANOTHER VEHICLE.  TT",Coimbatore
129,TATA MOTORS,Indica,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"WHILE DRIVING, NOTICE SMOKE COMING FROM UNDER HOOD, PULLED TO SIDE, POPPED HOOD FOUND ENGINE COMPARTMENT ON FIRE, FIRE DEPT SUSPECT TRANS. FLUID LEAKAGE.  TT",Ahmedabad
130,TATA MOTORS,Tiago EV,SAFETY,SEAT BELTS,"AUTOMATIC SEAT BELTS ARE NOT FUNCTIONING, MECHANISM ITSELF FAILED.  TT",Hubli–Dharwad
131,TATA MOTORS,Tiago EV,SAFETY,STRUCTURE:BODY,FLAMES COMING FROM TACHOMETER MANUFACTURER OFFER NO ASSISTANCE.  TT,Vasai-Virar
